"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3636","should display the same result for ""Networking"" filter after reload","","Wed Apr 23 18:03:01 UTC 2025","passed","Wed Apr 23 18:03:04 UTC 2025","","Resources Page - Filter persistence","",""
"","3845","should navigate to correct page when clicking ""Telnyx vs. Bandwidth""","","Wed Apr 23 18:03:31 UTC 2025","passed","Wed Apr 23 18:03:35 UTC 2025","","Home Page - Footer links validation","",""
"","2527","should switch to Korean and display correct localized content","","Wed Apr 23 18:01:32 UTC 2025","passed","Wed Apr 23 18:01:34 UTC 2025","","IoT SIM Card Page - Language localization functionality","",""
"","527","should scroll to section with anchor link ""Market trends: AI's impact on contact centers""","","Wed Apr 23 18:03:23 UTC 2025","passed","Wed Apr 23 18:03:24 UTC 2025","","Resources Page - Article Anchor Links","",""
"","827","should navigate to the Cookie Policy page when clicking Read More","","Wed Apr 23 18:01:48 UTC 2025","passed","Wed Apr 23 18:01:49 UTC 2025","","Home Page — Cookie Policy Link","",""
"","801","should scroll to section with anchor link ""How AI technologies enhance contact centers""","","Wed Apr 23 18:03:22 UTC 2025","passed","Wed Apr 23 18:03:23 UTC 2025","","Resources Page - Article Anchor Links","",""
"","4330","should navigate to correct page when clicking ""Telnyx vs. Hologram""","","Wed Apr 23 18:03:39 UTC 2025","passed","Wed Apr 23 18:03:44 UTC 2025","","Home Page - Footer links validation","",""
"","354","should open and close the ""Solutions"" menu tab correctly","","Wed Apr 23 18:01:56 UTC 2025","passed","Wed Apr 23 18:01:56 UTC 2025","","Homepage - Navigation menu tabs behavior","",""
"","3611","should filter coverage table by selected country: Austria","","Wed Apr 23 18:01:22 UTC 2025","passed","Wed Apr 23 18:01:25 UTC 2025","","Global Coverage Page - Country Filtering Functionality","",""
"","1634","shows only articles with titles containing ""IoT""","","Wed Apr 23 18:02:39 UTC 2025","passed","Wed Apr 23 18:02:41 UTC 2025","","Solutions Page - Search Functionality","",""
"","2842","should persist selected model after confirmation","","Wed Apr 23 18:02:50 UTC 2025","passed","Wed Apr 23 18:02:52 UTC 2025","","Home Page - AI-powered demo settings persistence","",""
"","256","should open and close the ""Developers"" menu tab correctly","","Wed Apr 23 18:01:57 UTC 2025","passed","Wed Apr 23 18:01:57 UTC 2025","","Homepage - Navigation menu tabs behavior","",""
"","4156","should filter coverage table by selected region: Africa","","Wed Apr 23 18:02:54 UTC 2025","passed","Wed Apr 23 18:02:59 UTC 2025","","Global Coverage Page - Region Filtering Functionality","",""
"","5044","should navigate to correct page when clicking ""Telnyx vs. Vonage""","","Wed Apr 23 18:03:44 UTC 2025","passed","Wed Apr 23 18:03:49 UTC 2025","","Home Page - Footer links validation","",""
